Threshold,Completeness,Succinctness,F-Score
0.425,0.9333333333333333,0.0,0.0
0.426,0.9333333333333333,0.0,0.0
0.427,0.9333333333333333,0.0,0.0
0.428,0.9333333333333333,0.0,0.0
0.429,0.9333333333333333,0.0,0.0
0.43,0.9333333333333333,0.0,0.0
0.431,0.9333333333333333,0.0,0.0
0.432,0.9333333333333333,0.0,0.0
0.433,0.9333333333333333,0.0,0.0
0.434,0.9333333333333333,0.0,0.0
0.435,0.9333333333333333,0.0,0.0
0.436,0.9333333333333333,0.0,0.0
0.437,0.9333333333333333,0.0,0.0
0.438,0.9333333333333333,0.0,0.0
0.439,0.9333333333333333,0.0,0.0
0.44,0.9333333333333333,0.0,0.0
0.441,0.9333333333333333,0.0,0.0
0.442,0.9333333333333333,0.0,0.0
0.443,0.9333333333333333,0.0,0.0
0.444,0.9333333333333333,0.0,0.0
0.445,0.9333333333333333,0.0,0.0
0.446,0.9333333333333333,0.0,0.0
0.447,0.9333333333333333,0.0,0.0
0.448,0.9333333333333333,0.0,0.0
0.449,0.9333333333333333,0.0,0.0
0.45,0.9333333333333333,0.0,0.0
0.451,0.9333333333333333,0.0,0.0
0.452,0.9333333333333333,0.0,0.0
0.453,0.9333333333333333,0.0,0.0
0.454,0.9333333333333333,0.0,0.0
0.455,0.9333333333333333,0.0,0.0
0.456,0.9333333333333333,0.0,0.0
0.457,0.9333333333333333,0.0,0.0
0.458,0.9333333333333333,0.0,0.0
0.459,0.9333333333333333,0.0,0.0
0.46,0.9333333333333333,0.0,0.0
0.461,0.9333333333333333,0.0,0.0
0.462,0.9333333333333333,0.0,0.0
0.463,0.9333333333333333,0.0,0.0
0.464,0.9333333333333333,0.0,0.0
0.465,0.9333333333333333,0.0,0.0
0.466,0.9333333333333333,0.0,0.0
0.467,0.9333333333333333,0.0,0.0
0.468,0.9333333333333333,0.0,0.0
0.469,0.9333333333333333,0.0,0.0
0.47,0.9333333333333333,0.0,0.0
0.471,0.9333333333333333,0.0,0.0
0.472,0.9333333333333333,0.0,0.0
0.473,0.9333333333333333,0.0,0.0
0.474,0.9333333333333333,0.0,0.0
0.475,0.9333333333333333,0.0,0.0
0.476,0.9333333333333333,0.0,0.0
0.477,0.8666666666666667,0.0,0.0
0.478,0.8666666666666667,0.0,0.0
0.479,0.8666666666666667,0.0,0.0
0.48,0.8,0.0,0.0
0.481,0.7333333333333333,0.3333333333333333,0.45833333333333326
0.482,0.7333333333333333,0.3333333333333333,0.45833333333333326
0.483,0.7333333333333333,0.3333333333333333,0.45833333333333326
0.484,0.7333333333333333,0.3333333333333333,0.45833333333333326
0.485,0.7333333333333333,0.3333333333333333,0.45833333333333326
0.486,0.7333333333333333,0.3333333333333333,0.45833333333333326
0.487,0.7333333333333333,0.3333333333333333,0.45833333333333326
0.488,0.7333333333333333,0.3333333333333333,0.45833333333333326
0.489,0.7333333333333333,0.3333333333333333,0.45833333333333326
0.49,0.7333333333333333,0.3333333333333333,0.45833333333333326
0.491,0.7333333333333333,0.3333333333333333,0.45833333333333326
0.492,0.7333333333333333,0.3333333333333333,0.45833333333333326
0.493,0.7333333333333333,0.3333333333333333,0.45833333333333326
0.494,0.7333333333333333,0.3333333333333333,0.45833333333333326
0.495,0.7333333333333333,0.3333333333333333,0.45833333333333326
0.496,0.7333333333333333,0.3333333333333333,0.45833333333333326
0.497,0.7333333333333333,0.3333333333333333,0.45833333333333326
0.498,0.7333333333333333,0.3333333333333333,0.45833333333333326
0.499,0.7333333333333333,0.3333333333333333,0.45833333333333326
0.5,0.7333333333333333,0.3333333333333333,0.45833333333333326
0.501,0.7333333333333333,0.3333333333333333,0.45833333333333326
0.502,0.7333333333333333,0.3333333333333333,0.45833333333333326
0.503,0.7333333333333333,0.3333333333333333,0.45833333333333326
0.504,0.7333333333333333,0.3333333333333333,0.45833333333333326
0.505,0.7333333333333333,0.3333333333333333,0.45833333333333326
0.506,0.7333333333333333,0.3333333333333333,0.45833333333333326
0.507,0.7333333333333333,0.3333333333333333,0.45833333333333326
0.508,0.7333333333333333,0.3333333333333333,0.45833333333333326
0.509,0.7333333333333333,0.3333333333333333,0.45833333333333326
0.51,0.7333333333333333,0.3333333333333333,0.45833333333333326
0.511,0.7333333333333333,0.3333333333333333,0.45833333333333326
0.512,0.7333333333333333,0.3333333333333333,0.45833333333333326
0.513,0.7333333333333333,0.3333333333333333,0.45833333333333326
0.514,0.7333333333333333,0.3333333333333333,0.45833333333333326
0.515,0.7333333333333333,0.3333333333333333,0.45833333333333326
0.516,0.7333333333333333,0.3333333333333333,0.45833333333333326
0.517,0.7333333333333333,0.3333333333333333,0.45833333333333326
0.518,0.7333333333333333,0.3333333333333333,0.45833333333333326
0.519,0.7333333333333333,0.3333333333333333,0.45833333333333326
0.52,0.7333333333333333,0.3333333333333333,0.45833333333333326
0.521,0.7333333333333333,0.3333333333333333,0.45833333333333326
